NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Gosto poseljena obmoèja;Vmesna obmoèja;Redko poseljena obmoèja
..E-naroèanje obiska pri zdravniku;2008;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2008;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2008;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2008;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2008;-;-;-;-
...Telefoniranje prek interneta;2008;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2008;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2008;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2008;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2008;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2008;-;-;-;-
..Prodaja blaga, storitev;2008;276890;44429;97534;134928
..Prenašanje programske opreme;2008;302182;69825;98254;134104
..Nalaganje lastnih vsebin na spletne strani;2008;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2008;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2008;-;-;-;-
..Nalaganje vsebin na spletno stran;2008;-;-;-;-
..Pridobivanje informacij o izobraževanju;2008;357170;85387;132454;139329
..Opravljanje teèaja prek interneta;2008;46470;13601;16568;16301
..Pridobivanje novih znanj, informacij;2008;495540;110191;183126;202222
..Uporaba interneta za izobraževanje in teèaje;2008;575147;124243;206909;243996
..Udeležba kakršnega koli teèaja;2008;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2008;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2008;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2008;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2008;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2008;-;-;-;-
..Poslušanje spletnih radijskih postaj;2008;-;-;-;-
..Gledanje spletne TV;2008;-;-;-;-
..Iskanje drugih informacij;2008;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2008;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2008;-;-;-;-
..Izdelava spletnih strani ali blogov;2008;-;-;-;-
..Uporaba e-pošte za delitev datotek;2008;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2008;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2008;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2008;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2008;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2008;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2008;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2008;-;-;-;-
..Branje spletnih forumov;2008;-;-;-;-
..Neposredno sporoèanje;2008;-;-;-;-
..Branje blogov;2008;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2008;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2008;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2008;499536;120228;175199;204109
