NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Uèenec, dijak, študent;Zaposlen, samozaposlen;Upokojenec;Drugo
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2008;413162;72663;317909;14602;7988
..Branje spletni novic, spletnih èasopisov, spletnih revij;2008;534540;115617;373235;27630;18058
...Naroèilo na spletne èasopisove, revije;2008;91524;18124;61441;8173;3785
..Iskanje službe, pošiljanje prošenj za službo;2008;154714;41860;96219;564;16072
..Iskanje informacij, povezanih z zdravjem;2008;435280;73702;318547;25597;17434
..E-naroèanje obiska pri zdravniku;2008;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2008;-;-;-;-;-
..Sodelovanje v profesionalnih spletnih omrežjih;2008;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2008;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2008;-;-;-;-;-
...Telefoniranje prek interneta;2008;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2008;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2008;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2008;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2008;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2008;-;-;-;-;-
..Prodaja blaga, storitev;2008;276890;60080;200220;6803;9787
..Prenašanje programske opreme;2008;302182;94177;192730;5492;9783
..Nalaganje lastnih vsebin na spletne strani;2008;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2008;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2008;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2008;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2008;357170;97526;234452;10518;14673
..Opravljanje teèaja prek interneta;2008;46470;13291;27783;1411;3985
..Pridobivanje novih znanj, informacij;2008;495540;136088;326436;14867;18149
..Uporaba interneta za izobraževanje in teèaje;2008;575147;150786;381866;18441;24054
..Udeležba kakršnega koli teèaja;2008;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2008;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2008;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2008;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2008;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2008;-;-;-;-;-
..Poslušanje spletnih radijskih postaj;2008;-;-;-;-;-
..Gledanje spletne TV;2008;-;-;-;-;-
..Iskanje drugih informacij;2008;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2008;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2008;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2008;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2008;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2008;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2008;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2008;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2008;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2008;-;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2008;-;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2008;-;-;-;-;-
..Branje spletnih forumov;2008;-;-;-;-;-
..Neposredno sporoèanje;2008;-;-;-;-;-
..Branje blogov;2008;-;-;-;-;-
