NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Uèenec, dijak, študent;Zaposlen, samozaposlen;Upokojenec;Drugo
..Iskanje drugih informacij;2012;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2012;539291;139998;323355;32295;43644
…Igranje spletnih iger z drugimi osebami;2012;157562;55526;81603;6816;13617
..Izdelava spletnih strani ali blogov;2012;72764;23158;39773;2552;7280
..Uporaba e-pošte za delitev datotek;2012;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2012;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2012;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2012;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2012;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2012;114854;31438;66931;2948;13538
..Pošiljanje sporoèil v novièarske skupine;2012;50271;14276;29106;1118;5772
..Pošiljanje sporoèil v spletne forume;2012;292500;68628;186697;10352;26823
..Branje spletnih forumov;2012;729907;138526;472238;56024;63118
..Neposredno sporoèanje;2012;365958;87024;231900;10126;36907
..Branje blogov;2012;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2012;185293;49296;115441;6888;13668
..Ustvarjanje in urejanje lastnega bloga;2012;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2012;-;-;-;-;-
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2012;-;-;-;-;-
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2012;-;-;-;-;-
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2012;-;-;-;-;-
Posamezniki;2013;1566491;158142;827280;371792;209277
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2013;1138457;158142;723467;130507;126340
..Pošiljanje ali prejemanje e-pošte;2013;982565;155655;631342;94321;101249
..E-banèništvo;2013;506205;42741;382142;45814;35508
..Iskanje informacij o blagu, storitvah;2013;857805;124944;572661;82873;77327
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2013;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2013;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2013;528393;71159;372416;54271;30546
..Branje spletni novic, spletnih èasopisov, spletnih revij;2013;898762;139432;582648;97385;79297
...Naroèilo na spletne èasopisove, revije;2013;78726;11717;51731;9495;5783
..Iskanje službe, pošiljanje prošenj za službo;2013;247657;47224;139201;1560;59671
..Iskanje informacij, povezanih z zdravjem;2013;784311;109885;507684;86155;80587
..E-naroèanje obiska pri zdravniku;2013;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2013;599682;145073;356804;30319;67485
..Sodelovanje v profesionalnih spletnih omrežjih;2013;68914;10566;50548;1286;6513
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2013;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2013;400375;84652;241358;33775;40590
...Telefoniranje prek interneta;2013;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2013;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2013;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2013;130354;27403;77630;9367;15954
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2013;119126;18514;76247;7750;16615
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2013;-;-;-;-;-
..Prodaja blaga, storitev;2013;549099;85965;371152;44662;47320
..Prenašanje programske opreme;2013;316139;94179;186744;5245;29971
..Nalaganje lastnih vsebin na spletne strani;2013;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2013;626502;141558;391188;43894;49863
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2013;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2013;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2013;496640;114354;303714;28903;49670
..Opravljanje teèaja prek interneta;2013;59399;13682;36242;4740;4735
..Pridobivanje novih znanj, informacij;2013;-;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;2013;-;-;-;-;-
..Udeležba kakršnega koli teèaja;2013;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2013;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2013;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2013;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2013;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2013;-;-;-;-;-
..Poslušanje spletnih radijskih postaj;2013;-;-;-;-;-
..Gledanje spletne TV;2013;-;-;-;-;-
..Iskanje drugih informacij;2013;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2013;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2013;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2013;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2013;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2013;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2013;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2013;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2013;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2013;-;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2013;-;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2013;-;-;-;-;-
..Branje spletnih forumov;2013;-;-;-;-;-
..Neposredno sporoèanje;2013;-;-;-;-;-
..Branje blogov;2013;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2013;-;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2013;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2013;-;-;-;-;-
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2013;-;-;-;-;-
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2013;-;-;-;-;-
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2013;-;-;-;-;-
Posamezniki;2014;1561751;139987;801690;383727;236347
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2014;1117999;138674;701764;139879;137681
..Pošiljanje ali prejemanje e-pošte;2014;973942;138674;609839;113906;111523
..E-banèništvo;2014;504143;37299;377635;54407;34803
..Iskanje informacij o blagu, storitvah;2014;969576;123621;623640;107363;114953
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2014;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2014;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2014;437267;49690;301916;47580;38081
..Branje spletni novic, spletnih èasopisov, spletnih revij;2014;912680;123787;563981;110710;114202
...Naroèilo na spletne èasopisove, revije;2014;-;-;-;-;-
..Iskanje službe, pošiljanje prošenj za službo;2014;-;-;-;-;-
..Iskanje informacij, povezanih z zdravjem;2014;-;-;-;-;-
..E-naroèanje obiska pri zdravniku;2014;101031;7183;66926;20876;6045
..Sodelovanje v spletnih družabnih omrežjih;2014;653076;134658;370331;51770;96317
..Sodelovanje v profesionalnih spletnih omrežjih;2014;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2014;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2014;460005;77038;273756;56188;53023
...Telefoniranje prek interneta;2014;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2014;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2014;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2014;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2014;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2014;282900;85445;161954;19141;16359
..Prodaja blaga, storitev;2014;450142;58271;299683;43181;49007
..Prenašanje programske opreme;2014;-;-;-;-;-
..Nalaganje lastnih vsebin na spletne strani;2014;422501;92691;246672;31696;51441
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2014;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2014;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2014;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2014;-;-;-;-;-
..Opravljanje teèaja prek interneta;2014;-;-;-;-;-
..Pridobivanje novih znanj, informacij;2014;-;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;2014;-;-;-;-;-
..Udeležba kakršnega koli teèaja;2014;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2014;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2014;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2014;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2014;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2014;-;-;-;-;-
..Poslušanje spletnih radijskih postaj;2014;467875;78743;290600;40667;57865
..Gledanje spletne TV;2014;-;-;-;-;-
..Iskanje drugih informacij;2014;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2014;525338;112281;308614;35607;68836
…Igranje spletnih iger z drugimi osebami;2014;111001;38984;50392;3097;18529
..Izdelava spletnih strani ali blogov;2014;85037;22823;47785;3991;10438
..Uporaba e-pošte za delitev datotek;2014;792566;131278;488127;78999;94162
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2014;469406;123498;254228;24793;66887
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2014;223510;71483;124641;13648;13739
..Uporaba zunanjih naprav za delitev datotek;2014;672444;120274;430421;53642;68108
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2014;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2014;-;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2014;-;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2014;-;-;-;-;-
..Branje spletnih forumov;2014;-;-;-;-;-
..Neposredno sporoèanje;2014;-;-;-;-;-
..Branje blogov;2014;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2014;-;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2014;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2014;-;-;-;-;-
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2014;-;-;-;-;-
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2014;-;-;-;-;-
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2014;-;-;-;-;-
