LETO;NAMEN UPORABE INTERNETA;16–24;25–34;35–44;45–54;55–64;65–74
2008;..Sodelovanje v profesionalnih spletnih omrežjih;-;-;-;-;-;-
2008;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
2008;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2008;...Telefoniranje prek interneta;-;-;-;-;-;-
2008;…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2008;..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
2008;..Branje in objavljanje mnenj o politiènih temah;-;-;-;-;-;-
2008;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;-;-;-;-;-;-
2008;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
2008;..Prodaja blaga, storitev;73443;98129;72274;24852;8191;-
2008;..Prenašanje programske opreme;104691;119279;48215;20207;8945;846
2008;..Nalaganje lastnih vsebin na spletne strani;-;-;-;-;-;-
2008;..Pridobivanje znanja s pomoèjo spletnih enciklopedij;-;-;-;-;-;-
2008;…Objavljanje lastnih prispevkov v spletnih enciklopedijah;-;-;-;-;-;-
2008;..Nalaganje vsebin na spletno stran;-;-;-;-;-;-
2008;..Pridobivanje informacij o izobraževanju;100343;117375;88242;32530;15602;3078
2008;..Opravljanje teèaja prek interneta;13227;15117;8246;7584;2296;-
2008;..Pridobivanje novih znanj, informacij;138674;153097;118809;56876;25390;2695
2008;..Uporaba interneta za izobraževanje in teèaje;158182;178516;137218;69102;28206;3924
2008;..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
2008;…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
2008;…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
2008;…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
2008;…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
2008;..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;-;-;-;-;-;-
2008;..Poslušanje spletnih radijskih postaj;-;-;-;-;-;-
2008;..Gledanje spletne TV;-;-;-;-;-;-
2008;..Iskanje drugih informacij;-;-;-;-;-;-
2008;..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;-;-;-;-;-;-
2008;…Igranje spletnih iger z drugimi osebami;-;-;-;-;-;-
2008;..Izdelava spletnih strani ali blogov;-;-;-;-;-;-
2008;..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
2008;..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
2008;..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
2008;..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
2008;..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;-;-;-;-;-;-
2008;..Pošiljanje sporoèil v spletne klepetalnice;-;-;-;-;-;-
2008;..Pošiljanje sporoèil v novièarske skupine;-;-;-;-;-;-
2008;..Pošiljanje sporoèil v spletne forume;-;-;-;-;-;-
2008;..Branje spletnih forumov;-;-;-;-;-;-
2008;..Neposredno sporoèanje;-;-;-;-;-;-
2008;..Branje blogov;-;-;-;-;-;-
2008;..Pošiljanje komentarjev na druge bloge;-;-;-;-;-;-
2008;..Ustvarjanje in urejanje lastnega bloga;-;-;-;-;-;-
2008;..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;103659;155018;131350;69856;35693;3961
2008;...Uporaba spletnih strani e-uprave za pridobivanje informacij;96479;144925;123634;63036;31006;3961
2008;…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;34986;86305;83826;30827;19112;1336
2008;…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;13783;42628;28484;15508;5068;846
2009;Posamezniki;222890;300386;300148;312086;254329;188839
2009;Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];218537;260211;227044;175130;81783;15580
2009;..Pošiljanje ali prejemanje e-pošte;205342;239913;186243;133254;58878;9144
2009;..E-banèništvo;32970;140827;108440;73418;26104;4550
2009;..Iskanje informacij o blagu, storitvah;156128;230722;178194;134130;65477;9004
2009;…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;100342;181567;141367;93761;48159;3544
2009;…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;34181;74459;48659;27175;9302;1686
2009;..Uporaba storitev, povezanih s potovanji in nastanitvijo;72947;122911;95197;67904;31545;7370
2009;..Branje spletni novic, spletnih èasopisov, spletnih revij;117500;159874;120584;84189;44153;7374
2009;...Naroèilo na spletne èasopisove, revije;18989;32954;21215;19648;8408;1001
2009;..Iskanje službe, pošiljanje prošenj za službo;54800;78198;29893;27031;2243;997
2009;..Iskanje informacij, povezanih z zdravjem;95747;157667;125621;75639;46585;11163
2009;..E-naroèanje obiska pri zdravniku;-;-;-;-;-;-
2009;..Sodelovanje v spletnih družabnih omrežjih;-;-;-;-;-;-
2009;..Sodelovanje v profesionalnih spletnih omrežjih;-;-;-;-;-;-
2009;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;152739;114756;35685;9750;3788;377
2009;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;67444;66224;44646;32666;12269;2192
2009;...Telefoniranje prek interneta;37668;52978;40920;21726;10722;860
2009;…Video telefoniranje s spletno kamero prek interneta;47918;36563;20651;22816;5938;1332
2009;..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
2009;..Branje in objavljanje mnenj o politiènih temah;-;-;-;-;-;-
2009;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;-;-;-;-;-;-
2009;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
2009;..Prodaja blaga, storitev;63883;114817;60962;33481;19042;1144
2009;..Prenašanje programske opreme;118174;110069;49414;24150;8360;1726
2009;..Nalaganje lastnih vsebin na spletne strani;-;-;-;-;-;-
2009;..Pridobivanje znanja s pomoèjo spletnih enciklopedij;-;-;-;-;-;-
2009;…Objavljanje lastnih prispevkov v spletnih enciklopedijah;-;-;-;-;-;-
2009;..Nalaganje vsebin na spletno stran;123869;121028;63341;32448;17730;2615
2009;..Pridobivanje informacij o izobraževanju;88660;101886;68814;51923;21697;2794
2009;..Opravljanje teèaja prek interneta;20537;16065;6325;4293;2960;377
2009;..Pridobivanje novih znanj, informacij;146810;138997;94866;52741;20087;377
2009;..Uporaba interneta za izobraževanje in teèaje;172981;176288;133083;85140;37495;2794
2009;..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
2009;…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
2009;…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
2009;…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
2009;…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
2009;..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;152542;177689;112854;86397;34177;2286
2009;..Poslušanje spletnih radijskih postaj;114867;138100;73287;44900;13549;1308
