NAMEN UPORABE INTERNETA;16–24;25–34;35–44;45–54;55–64;65–74
..Prenašanje programske opreme;125903;117246;63330;29391;9387;1893
..Nalaganje lastnih vsebin na spletne strani;-;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;-;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;-;-;-;-;-;-
..Nalaganje vsebin na spletno stran;141904;147324;91083;40813;26946;3885
..Pridobivanje informacij o izobraževanju;98978;122877;90199;66278;35189;6413
..Opravljanje teèaja prek interneta;19940;14376;16903;8624;4574;511
..Pridobivanje novih znanj, informacij;163604;186749;143675;95581;62553;12241
..Uporaba interneta za izobraževanje in teèaje;177475;202709;160727;112378;68529;13125
..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;154762;179846;139800;101303;40779;10752
..Poslušanje spletnih radijskih postaj;117820;129358;94500;51783;25300;6303
..Gledanje spletne TV;111506;134199;105648;75777;33279;9358
..Iskanje drugih informacij;-;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;-;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;-;-;-;-;-;-
..Izdelava spletnih strani ali blogov;-;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;110439;99818;54338;27499;16021;2780
..Pošiljanje sporoèil v spletne klepetalnice;68549;42378;27345;8049;7141;2411
..Pošiljanje sporoèil v novièarske skupine;14014;25810;6666;4801;2913;1303
..Pošiljanje sporoèil v spletne forume;80473;77214;43963;21972;11589;1030
..Branje spletnih forumov;154704;196882;139549;103615;46967;10594
..Neposredno sporoèanje;174194;141866;72921;45616;23899;3646
..Branje blogov;114786;125794;92438;68224;46289;6949
..Pošiljanje komentarjev na druge bloge;67824;42904;24551;8021;7941;1899
..Ustvarjanje in urejanje lastnega bloga;33028;24414;10645;5397;3923;661
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;117663;177845;150525;117523;61751;11118
...Uporaba spletnih strani e-uprave za pridobivanje informacij;117663;177845;150525;117523;61751;11118
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;50700;126307;101625;73137;34277;6650
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;8796;47915;40569;19164;17216;721
Posamezniki;197732;296102;295110;303872;270145;178223
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];195017;276084;240963;197077;101050;27643
..Pošiljanje ali prejemanje e-pošte;189610;251221;208271;157703;83243;19939
..E-banèništvo;49444;144399;136997;96342;43688;6483
..Iskanje informacij o blagu, storitvah;140924;232372;200281;153274;78457;19481
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;103516;171677;116675;97577;46528;10552
..Branje spletni novic, spletnih èasopisov, spletnih revij;147927;224018;170498;154499;74336;20767
...Naroèilo na spletne èasopisove, revije;12918;36737;28492;17762;7107;3246
..Iskanje službe, pošiljanje prošenj za službo;53848;94095;36140;24866;3105;-
..Iskanje informacij, povezanih z zdravjem;123036;204026;171936;138343;70680;17326
..E-naroèanje obiska pri zdravniku;-;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;156222;174808;90670;52918;12042;5968
..Sodelovanje v profesionalnih spletnih omrežjih;8553;15531;9434;5468;1693;1432
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;59510;79869;49467;30497;28670;8962
...Telefoniranje prek interneta;-;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;29874;68529;47663;43608;20491;7859
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;9125;31519;20635;10737;5071;4739
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
..Prodaja blaga, storitev;84576;151879;101318;78443;31867;10553
..Prenašanje programske opreme;118311;121471;74503;34339;16291;4550
..Nalaganje lastnih vsebin na spletne strani;-;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;142407;150576;118226;74384;32916;11063
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;6806;10529;9447;1715;779;2116
..Nalaganje vsebin na spletno stran;-;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;133526;149172;112364;71610;28496;7717
..Opravljanje teèaja prek interneta;20341;24126;17350;11715;5133;814
..Pridobivanje novih znanj, informacij;-;-;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;-;-;-;-;-;-
..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj;-;-;-;-;-;-
..Gledanje spletne TV;-;-;-;-;-;-
..Iskanje drugih informacij;-;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;-;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;-;-;-;-;-;-
..Izdelava spletnih strani ali blogov;-;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;-;-;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne forume;72542;91979;60661;37577;14143;3433
..Branje spletnih forumov;148496;202576;159852;114103;56551;17196
..Neposredno sporoèanje;-;-;-;-;-;-
..Branje blogov;-;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;-;-;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;-;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;-;-;-;-;-;-
...Uporaba spletnih strani e-uprave za pridobivanje informacij;-;-;-;-;-;-
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;-;-;-;-;-;-
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;-;-;-;-;-;-
Posamezniki;203345;297533;299719;308802;281218;179798
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];197263;277182;253716;198915;114881;31422
..Pošiljanje ali prejemanje e-pošte;185277;248372;198996;158914;85452;24337
..E-banèništvo;41744;129548;123072;93895;44113;8572
..Iskanje informacij o blagu, storitvah;162686;246772;218188;170369;95285;25657
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;90251;146468;117369;87110;37051;12040
..Branje spletni novic, spletnih èasopisov, spletnih revij;145888;195099;164008;145166;71720;22441
...Naroèilo na spletne èasopisove, revije;-;-;-;-;-;-
..Iskanje službe, pošiljanje prošenj za službo;-;-;-;-;-;-
..Iskanje informacij, povezanih z zdravjem;135622;218275;195290;154419;83025;19912
..E-naroèanje obiska pri zdravniku;6231;11997;11598;16846;3909;1887
..Sodelovanje v spletnih družabnih omrežjih;173598;208551;97402;54951;20219;6864
..Sodelovanje v profesionalnih spletnih omrežjih;-;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;84713;80143;67963;49014;20491;6565
...Telefoniranje prek interneta;-;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;-;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
..Prodaja blaga, storitev;82989;142815;131277;69103;33326;9881
..Prenašanje programske opreme;-;-;-;-;-;-
..Nalaganje lastnih vsebin na spletne strani;103685;109110;73836;45448;18109;7298
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;165686;175731;155191;100364;58214;17851
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;16435;9488;6028;9533;2929;648
..Nalaganje vsebin na spletno stran;-;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;-;-;-;-;-;-
..Opravljanje teèaja prek interneta;-;-;-;-;-;-
..Pridobivanje novih znanj, informacij;-;-;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;-;-;-;-;-;-
..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;142631;185707;148414;99799;41059;11115
..Poslušanje spletnih radijskih postaj;113665;148332;103510;69377;29648;3170
..Gledanje spletne TV;91414;114482;100443;71439;30783;9909
..Iskanje drugih informacij;-;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;157707;180443;108660;50175;30511;11796
…Igranje spletnih iger z drugimi osebami;65457;46181;27020;12338;5846;720
..Izdelava spletnih strani ali blogov;31066;17799;12032;9254;1346;1268
..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;35959;38454;20957;13012;6473;-
..Pošiljanje sporoèil v novièarske skupine;15302;11877;13553;7702;1838;-
..Pošiljanje sporoèil v spletne forume;77511;92992;57458;42173;20516;1849
..Branje spletnih forumov;156094;216666;160980;115026;63555;17586
