NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Najveè OŠ izobrazba;Srednja izobrazba;Vsaj visokošolska izobrazba;Moški – SKUPAJ;Moški – najveè OŠ izobrazba;Moški – srednja izobrazba;Moški – vsaj višješolska izobrazba;Ženske – SKUPAJ;Ženske – najveè OŠ izobrazba;Ženske – srednja izobrazba;Ženske – vsaj višješolska izobrazba
..Uporaba e-pošte za delitev datotek;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Branje spletnih forumov;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Neposredno sporoèanje;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Branje blogov;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2007;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2007;467959;37814;255977;174167;223732;17491;130631;75610;244227;20323;125346;98557
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2007;438283;33619;239658;165006;212966;17491;123746;71729;225316;16128;115912;93277
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2007;241293;10483;114807;116003;112535;1712;60441;50383;128758;8771;54366;65620
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2007;99132;3565;47841;47726;50144;1712;23178;25254;48988;1853;24663;22472
Posamezniki;2008;1588357;379002;924810;284545;805094;188053;505088;111953;783262;190948;419721;172593
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2008;887276;108432;526189;252655;461157;62203;297000;101954;426119;46228;229189;150702
..Pošiljanje ali prejemanje e-pošte;2008;744060;89656;415342;239062;383323;49340;237222;96762;360737;40316;178120;142301
..E-banèništvo;2008;333196;13324;175781;144091;161140;3808;99497;57835;172056;9516;76284;86256
..Iskanje informacij o blagu, storitvah;2008;767671;82456;451523;233691;400714;47943;258224;94547;366957;34513;193299;139144
